Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_arc_1,16.425,1.825,9.525,28.145,7.05,9.525,16.425,12.275,9.525
2,3_point_arc_2,16.425,12.275,9.525,16.011,11.871,9.542,15.629,11.431,9.589
3,3_point_arc_3,15.629,11.431,9.589,14.091,10.148,10.103,12.516,9.614,11.406
4,3_point_arc_4,12.516,9.614,11.406,12.134,9.567,11.847,11.721,9.55,12.25
5,3_point_arc_5,11.721,9.55,12.25,-0.0,9.55,7.025,11.721,9.55,1.8
6,3_point_arc_6,11.721,9.55,1.8,12.134,9.567,2.203,12.516,9.614,2.644
7,3_point_arc_7,12.516,9.614,2.644,14.091,10.148,3.947,15.629,11.431,4.461
8,3_point_arc_8,15.629,11.431,4.461,16.011,11.871,4.508,16.425,12.275,4.525
9,3_point_arc_9,16.425,12.275,4.525,28.145,7.05,4.525,16.425,1.825,4.525
10,3_point_arc_10,16.425,1.825,4.525,16.011,2.229,4.508,15.629,2.669,4.461
11,3_point_arc_11,15.629,2.669,4.461,14.091,3.952,3.947,12.516,4.486,2.644
12,3_point_arc_12,12.516,4.486,2.644,12.134,4.533,2.203,11.721,4.55,1.8
13,3_point_arc_13,11.721,4.55,1.8,-0.0,4.55,7.025,11.721,4.55,12.25
14,3_point_arc_14,11.721,4.55,12.25,12.134,4.533,11.847,12.516,4.486,11.406
15,3_point_arc_15,12.516,4.486,11.406,14.091,3.952,10.103,15.629,2.669,9.589
16,3_point_arc_16,15.629,2.669,9.589,16.011,2.229,9.542,16.425,1.825,9.525
