Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,28.144,-2.0,4.525,16.425,-2.0,4.525,NA,NA,NA
2,Line,29.144,-2.0,4.525,28.144,-2.0,4.525,NA,NA,NA
3,Line,29.144,-2.0,5.025,29.144,-2.0,4.525,NA,NA,NA
4,Line,29.144,-2.0,9.025,29.144,-2.0,5.025,NA,NA,NA
5,Line,29.144,-2.0,9.025,29.144,-2.0,9.525,NA,NA,NA
6,Line,29.144,-2.0,9.525,28.144,-2.0,9.525,NA,NA,NA
7,Line,28.144,-2.0,9.525,16.425,-2.0,9.525,NA,NA,NA
8,3_point_arc_1,16.425,-2.0,9.525,14.256,-2.0,10.02,12.516,-2.0,11.406
9,3_point_arc_2,12.516,-2.0,11.406,-0.0,-2.0,7.025,12.516,-2.0,2.644
10,3_point_arc_3,12.516,-2.0,2.644,14.256,-2.0,4.03,16.425,-2.0,4.525
