Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,Line,10.0,0.0,11.6,10.0,15.5,11.6,NA,NA,NA
2,Line,10.0,0.0,11.6,10.0,-1.5,11.6,NA,NA,NA
3,Line,10.0,-1.5,11.6,10.0,-1.5,8.797,NA,NA,NA
4,Line,10.0,0.0,8.797,10.0,-1.5,8.797,NA,NA,NA
5,Line,10.0,0.0,8.797,10.0,13.5,8.797,NA,NA,NA
6,Line,10.0,13.5,8.797,10.0,13.5,2.803,NA,NA,NA
7,Line,10.0,0.0,2.803,10.0,13.5,2.803,NA,NA,NA
8,Line,10.0,-1.5,2.803,10.0,0.0,2.803,NA,NA,NA
9,Line,10.0,-1.5,2.553,10.0,-1.5,2.803,NA,NA,NA
10,Line,10.0,-1.5,2.553,10.0,-1.5,-0.0,NA,NA,NA
11,Line,10.0,0.0,0.0,10.0,-1.5,-0.0,NA,NA,NA
12,Line,10.0,0.0,0.0,10.0,15.5,0.0,NA,NA,NA
13,Line,10.0,15.5,11.6,10.0,15.5,0.0,NA,NA,NA
