Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5
1,3_point_arc_1,3.848,20.8,4.008,3.848,20.523,4.454,3.848,20.0,4.408,NA,NA,NA,NA,NA,NA
2,Line,3.848,5.0,7.509,3.848,20.0,4.408,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Line,3.848,5.0,6.764,3.848,5.0,7.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3_point_arc_2,3.848,5.0,6.764,3.848,4.929,6.584,3.848,4.75,6.509,NA,NA,NA,NA,NA,NA
5,Line,3.848,3.0,6.509,3.848,4.75,6.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Line,3.848,0.237,6.267,3.848,3.0,6.509,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3_point_arc_3,3.848,0.237,6.267,3.848,0.069,6.189,3.848,-0.0,6.017,NA,NA,NA,NA,NA,NA
8,Line,3.848,-0.0,5.626,3.848,-0.0,6.017,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3_point_arc_4,3.848,0.0,5.626,3.848,0.07,5.452,3.848,0.241,5.375,NA,NA,NA,NA,NA,NA
10,spline_5_points_1,3.848,0.241,5.375,3.848,2.329,5.302,3.848,4.416,5.229,3.848,6.503,5.156,3.848,8.591,5.084
11,Line,3.848,13.0,4.662,3.848,13.0,5.084,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,3_point_arc_5,3.848,13.0,4.662,3.848,13.028,4.589,3.848,13.1,4.559,NA,NA,NA,NA,NA,NA
13,Line,3.848,17.0,4.558,3.848,13.1,4.559,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Line,3.848,17.0,4.558,3.848,17.0,4.008,NA,NA,NA,NA,NA,NA,NA,NA,NA
