Steps,Draw Type,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
1,3_point_arc_1,3.847,21.916,4.008,3.847,21.121,4.985,3.847,20.0,4.409
2,Line,3.847,5.0,7.509,3.847,20.0,4.409,NA,NA,NA
3,Line,3.847,5.0,6.759,3.847,5.0,7.509,NA,NA,NA
4,3_point_arc_2,3.847,5.0,6.759,3.847,4.925,6.58,3.847,4.745,6.509
5,Line,3.847,3.0,6.509,3.847,4.745,6.509,NA,NA,NA
6,Line,3.847,0.228,6.266,3.847,3.0,6.509,NA,NA,NA
7,3_point_arc_3,3.847,0.228,6.266,3.847,0.066,6.186,3.847,-0.0,6.017
8,Line,3.847,0.0,5.625,3.847,-0.0,6.017,NA,NA,NA
9,3_point_arc_4,3.847,0.0,5.625,3.847,0.07,5.452,3.847,0.241,5.375
10,Line,3.847,8.591,5.084,3.847,0.241,5.375,NA,NA,NA
11,Line,3.847,13.0,5.084,3.847,8.591,5.084,NA,NA,NA
12,Line,3.847,13.0,4.659,3.847,13.0,5.084,NA,NA,NA
13,3_point_arc_5,3.847,13.0,4.659,3.847,13.029,4.588,3.847,13.1,4.559
14,Line,3.847,17.0,4.558,3.847,13.1,4.559,NA,NA,NA
15,Line,3.847,17.0,4.008,3.847,17.0,4.558,NA,NA,NA
